,age,norm_r,norm_s,norm_t,post_tran,pre_tran,rotate,scale,session_id,spatial,tracing_item,translate,human_rating,human_norm_rating,norm_shape,norm_spatial,overall
162,2,-0.530335414547,-0.755166742577,-0.105630749925,-0.639504253864,-0.102036230266,0.00206669,0.0160890867063,cdm_run_v31525887455403,-1.39113290705,square,0.0488009,3,1.052273583,-0.601580220522,-0.537903563026,-1.13948378355
163,2,-0.290499719541,-0.388901164574,-0.0612495854414,-0.679934263229,-0.181831628084,0.0247888,0.0521995693771,cdm_run_v31525893174061,-0.740650469556,square,0.0518952,3,1.15794218746,-0.787339385249,-0.278660274495,-1.06599965974
164,2,-0.438845221271,-0.448217975947,-0.012757752393,-0.607132971287,-0.213836163282,0.0107345,0.0463514667493,cdm_run_v31525893174061,-0.899820949612,shape,0.0552761,3,0.75074848824,-0.45284757101,-0.342096081995,-0.794943653005
165,2,-0.179114195104,-0.485496699225,0.0957776668872,-0.787597298622,-0.0805105939507,0.0353415,0.042676120848,cdm_run_v31525894638556,-0.568833227441,square,0.0628433,2,0.716464578334,-1.28200648626,-0.210184226097,-1.49219071236
166,2,-0.150036817492,-0.66739292085,-0.0468636797513,-0.573391437531,-0.235871240497,0.0380963,0.0247427939034,cdm_run_v31525894638556,-0.864293418094,shape,0.0528982,2,0.34819240602,-0.297819184285,-0.327936938606,-0.625756122891
167,2,-0.552149675305,-0.91835699112,-0.805576058989,-0.0,-0.0,0.0,0.0,cdm_run_v31525897661521,-2.27608272541,square,0.0,0,-1.5759340326,2.33667722495,-0.89059148798,1.44608573697
169,2,2.24506491866,4.62417088975,2.15132278972,-0.148897826672,-0.00439156359062,0.265009,0.546443261432,cdm_run_v31526067176147,9.02055859813,square,0.206158,4,1.70085094109,1.6525533193,3.61157225584,5.26412557514
170,2,1.90817561228,2.93811324513,1.73831964481,-0.136751890182,-0.0173243656754,0.233092,0.380213184093,cdm_run_v31526067194650,6.58460850221,square,0.177363,0,-1.1303235216,1.70835887197,2.64074863761,4.34910750958
171,2,2.28102637703,0.0652590157828,0.919441764886,-0.0496535636485,0.0133758122101,0.268416,0.0969756671254,cdm_run_v31526067194650,3.2657271577,shape,0.12027,0,-1.5759340326,2.10853964463,1.31804157528,3.4265812199
172,2,-0.196481669012,-0.375598164949,0.38362630087,0.00318466126919,0.00291960802861,0.0336961,0.0535111251614,cdm_run_v31526074867417,-0.18845353309,square,0.0829124,0,-1.60956649857,2.3513094258,-0.0585876922469,2.29272173355
173,2,1.12699816213,0.612747414863,1.3751436548,-0.148448571563,-0.036976698786,0.159083,0.15095308552,cdm_run_v31526075821117,3.1148892318,square,0.152042,0,-1.39121668728,1.65461746064,1.25792662414,2.91254408478
