,session_id,age,tracing_item,pre_mse,post_mse,rotate,translate,scale,correct,condition
53,e11532547010484,6,this square,0.0347542,0.014718037,0.00936065,0.0413036,0.009269357,0.393333333,W
54,e11532547010484,6,this shape,0.0528134,0.051557999,0.00713551,0.0196753,0.126153231,0.393333333,W
55,e11532547010484,6,this circle,0.0633659,0.0602399,0.0034351,0.0155281,0.059451818,0.393333333,W
56,e11532547528521,4,this square,0.0512919,0.037606508,0.0615978,0.0443586,0.083141148,0.006666667,P
57,e11532547528521,4,this circle,0.0559881,0.054431379,0.000810392,0.0708572,0.110486984,0.006666667,P
58,e11532552096322,4,this square,0.0784597,0.074982569,0.103643,0.143267,0.714903116,0.026666667,S
59,e11532552096322,4,this shape,0.0900464,0.099366345,0.056071,0.097943,0.407740235,0.026666667,S
60,e11532552096322,4,this circle,0.058926,0.060777742,0.00308929,0.0367339,0.110063791,0.026666667,S
61,e11532552431212,6,this square,0.0561683,0.03629373,0.0325614,0.0697121,0.470975876,0.46,W
62,e11532552431212,6,this shape,0.0609074,0.057238217,0.0412416,0.030866,0.281453252,0.46,W
63,e11532552431212,6,this circle,0.0605651,0.05699686,0.000319232,0.0144989,0.017264605,0.46,W
64,e11532553232054,6,this square,0.0351638,0.022958843,0.117043,0.0324512,0.124432325,0.566666667,P
65,e11532553232054,6,this shape,0.0489499,0.038333647,0.00329409,0.0421937,0.206618905,0.566666667,P
66,e11532553232054,6,this circle,0.0613489,0.034450509,0.106352,0.131192,0.141706824,0.566666667,P
67,e11532554214992,6,this square,0.0736365,0.047555257,0.0354658,0.0426734,0.243441701,0.34,S
68,e11532554214992,6,this shape,0.0770495,0.068635531,0.0212667,0.0438755,0.999115109,0.34,S
69,e11532554214992,6,this circle,0.0541763,0.039866325,0.000683847,0.0270525,0.026012421,0.34,S
70,e11532554599143,4,this circle,0.0593055,0.057869352,0.000338818,0.0129974,0.021135211,0.166666667,W
71,e11532555203616,4,this square,0.0519236,0.049716018,0.000380048,0.0111219,0.016354799,0,P
72,e11532555203616,4,this circle,0.0548367,0.053545315,0.000239917,0.00553559,0.050867558,0,P
73,e11532555995167,5,this square,0.0510712,0.010340885,0.0172192,0.0407471,0.092513323,0.54,S
74,e11532555995167,5,this shape,0.0518788,0.035235651,0.0154492,0.0382484,0.184017897,0.54,S
75,e11532555995167,5,this circle,0.0531154,0.054675709,0.00949851,0.0218219,0.136956692,0.54,S
76,e11532557358704,7,this square,0.0333255,0.021755408,0.00282092,0.0111517,0.000934839,0.553333333,S
77,e11532557358704,7,this shape,0.0572927,0.025908526,0.0315895,0.0608277,0.047328055,0.553333333,S
78,e11532557358704,7,this circle,0.0484963,0.04008818,0.000345329,0.00578886,0.052371442,0.553333333,S
79,e11532557578120,7,this square,0.0462159,0.020577244,0.00593476,0.0136025,0.092287004,0.953333333,W
80,e11532557578120,7,this shape,0.0496531,0.02414242,0.00247063,0.0463421,0.079966187,0.953333333,W
81,e11532557578120,7,this circle,0.0532462,0.054225016,0.00267068,0.0363491,0.08033061,0.953333333,W
82,e11532558017061,6,this square,0.0453923,0.014590966,0.0186821,0.0666424,0.012278199,0.6,P
83,e11532558017061,6,this shape,0.0688047,0.043355793,0.0135981,0.078606,0.198488712,0.6,P
84,e11532558017061,6,this circle,0.0544703,0.063230328,0.000714508,0.151757,0.439674258,0.6,P
85,e11532559138714,5,this square,0.0370511,0.03328513,0.0453214,0.0412828,0.069930196,0.093333333,P
86,e11532559138714,5,this shape,0.0647417,0.056704778,0.0361469,0.0315364,0.042105079,0.093333333,P
87,e11532559138714,5,this circle,0.0500291,0.035994168,0.00182628,0.0278899,0.00690186,0.093333333,P
88,e11533072218503,5,this square,0.0471082,0.047852434,6.76E-05,0.0244922,0.094210505,0.106666667,W
89,e11533072218503,5,this shape,0.063467,0.078081571,0.0801503,0.023531,0.455454111,0.106666667,W
90,e11533072218503,5,this circle,0.053707,0.051448341,0.000353543,0.00831094,0.014574111,0.106666667,W
